id,name,categoryId,supplierId,purchasePrice,sellingPrice,quantity,expiryDate,batchNo
1,Paracetamol 500mg,1,101,2.5,5.0,100,2028-12-31,PCM001
2,Ibuprofen 400mg,1,101,5.0,10.0,80,2027-10-30,IBU002
3,Amoxicillin 500mg,2,102,8.0,15.0,50,2027-08-15,AMX003
4,Vitamin C 500mg,3,103,6.0,12.0,75,2028-05-20,VTC004t
5,Aspirin 75mg,1,102,1.5,3.0,120,2028-03-15,ASP005
6,Diclofenac 50mg,1,101,3.0,6.0,90,2027-11-20,DIC006
7,Azithromycin 500mg,2,102,12.0,22.0,45,2027-09-10,AZI007
8,Ciprofloxacin 500mg,2,103,7.0,14.0,60,2028-01-25,CIP008
9,Cephalexin 500mg,2,101,9.0,17.0,40,2027-12-05,CEP009
10,Calcium Tablets,3,103,4.0,8.0,85,2028-06-30,CAL010
11,Multivitamin Tablets,3,102,10.0,18.0,70,2028-08-12,MUL011
12,Vitamin D3 1000IU,3,101,5.5,11.0,95,2029-02-28,VTD012
13,Omeprazole 20mg,1,103,4.5,9.0,110,2028-04-18,OME013
14,Antacid Tablets,1,102,2.0,4.0,130,2027-10-15,ANT014
15,Loratadine 10mg,1,101,3.5,7.0,75,2028-02-22,LOR015
16,Metformin 500mg,1,103,6.0,12.0,80,2028-07-19,MET016
17,Amoxicillin 250mg,2,102,5.0,10.0,55,2027-06-25,AMX017
18,Doxycycline 100mg,2,101,8.5,16.0,35,2028-09-14,DOX018
19,Fluconazole 150mg,2,103,11.0,20.0,30,2027-11-08,FLU019
20,Iron Supplement,3,102,4.0,8.5,100,2028-12-10,IRN020
21,Magnesium Tablets,3,101,6.5,13.0,65,2029-01-16,MAG021
22,Oral Rehydration Salts,3,103,1.0,2.5,150,2027-08-30,ORS022
23,Hydrocortisone Cream,1,102,7.0,13.0,50,2028-05-11,HYD023
24,Antiseptic Solution,1,101,5.0,10.0,45,2029-03-21,ANT024
